Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamID,OpponentID,ScoreID
8/13/2021 10:00:00 PM,2,2021,1,DAL,ARI,AWAY,16,19,35,State Farm Stadium,0,6,3,7,0,31,7,31:07,21,9,10,2,72,323,4.5,1,29,108,3.7,0,43,20,215,1,0,5,10.8,46.5,69.43,17,7,41.2,4,3,75.0,3,1,0,0,8,50,1,1,0,0,8,8,3,131,43.7,1,1,0,3,7,3,6,0,28,53,28:53,21,10,6,5,66,325,4.9,1,31,168,5.4,1,31,18,157,0,0,5.1,8.7,58.1,71.57,13,5,38.5,1,1,100,4,1,0,0,5,35,1,1,4,19,2,1,4,182,45.5,1,1,0,33.3,0,25.0,0,1,1,0,0,0,0,0,3,3,1,1,0,0,0,0,0,4,4,54,12,4,19,5,0,1,38,27,0,0,6,1,1,Friday,9,1,17968
8/13/2021 10:00:00 PM,2,2021,1,ARI,DAL,HOME,19,16,35,State Farm Stadium,3,7,3,6,0,28,53,28:53,21,10,6,5,66,325,4.9,1,31,168,5.4,1,31,18,157,0,0,5.1,8.7,58.1,71.57,13,5,38.5,1,1,100,4,1,0,0,5,35,1,1,4,19,2,1,4,182,45.5,1,1,0,0,6,3,7,0,31,7,31:07,21,9,10,2,72,323,4.5,1,29,108,3.7,0,43,20,215,1,0,5,10.8,46.5,69.43,17,7,41.2,4,3,75.0,3,1,0,0,8,50,1,1,0,0,8,8,3,131,43.7,1,1,0,25.0,0,33.3,0,1,1,0,0,0,0,0,4,4,1,1,0,0,0,0,0,3,3,38,27,0,0,6,1,1,54,12,4,19,5,0,1,Friday,1,9,17968
8/14/2021 1:00:00 PM,2,2021,1,MIA,CHI,AWAY,13,20,33,Soldier Field,3,10,0,0,0,33,39,33:39,15,6,8,1,63,326,5.2,1,29,118,4.1,0,31,20,208,1,1,6.7,10.4,64.5,81.12,15,6,40.0,2,1,50.0,3,0,0,0,4,38,1,1,3,9,0,2,5,265,53,2,0,-2,0,3,14,3,0,26,21,26:21,12,6,6,0,51,339,6.6,2,24,171,7.1,1,27,17,168,1,0,6.2,9.9,63.0,92.82,12,3,25.0,1,1,100,2,1,0,0,9,55,0,0,0,0,8,7,7,388,55.4,0,2,2,0,0,50.0,0,1,1,0,0,0,0,0,2,2,2,2,0,0,0,0,0,2,2,40,20,0,0,6,1,0,50,17,3,9,8,1,2,Saturday,19,6,17664
8/14/2021 1:00:00 PM,2,2021,1,CHI,MIA,HOME,20,13,33,Soldier Field,0,3,14,3,0,26,21,26:21,12,6,6,0,51,339,6.6,2,24,171,7.1,1,27,17,168,1,0,6.2,9.9,63.0,92.82,12,3,25.0,1,1,100,2,1,0,0,9,55,0,0,0,0,8,7,7,388,55.4,0,2,2,3,10,0,0,0,33,39,33:39,15,6,8,1,63,326,5.2,1,29,118,4.1,0,31,20,208,1,1,6.7,10.4,64.5,81.12,15,6,40.0,2,1,50.0,3,0,0,0,4,38,1,1,3,9,0,2,5,265,53,2,0,-2,50.0,0,0,0,2,2,0,0,0,0,0,2,2,1,1,0,0,0,0,0,2,2,50,17,3,9,8,1,2,40,20,0,0,6,1,0,Saturday,6,19,17664
8/14/2021 4:00:00 PM,2,2021,1,DEN,MIN,AWAY,33,6,39,U.S. Bank Stadium,9,17,7,0,0,30,52,30:52,20,7,9,4,57,387,6.8,4,35,138,3.9,0,22,14,249,3,0,11.3,17.8,63.6,141.86,12,7,58.3,2,0,0,4,2,0,0,5,55,0,0,0,0,4,3,2,85,42.5,0,1,1,3,3,0,0,0,29,8,29:08,15,11,3,1,63,235,3.7,0,36,156,4.3,0,26,11,79,0,1,3.0,7.2,42.3,33.97,13,5,38.5,2,0,0,3,0,0,0,8,68,0,0,1,5,1,4,4,162,40.5,1,0,-1,50.0,0,0,0,4,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,42,25,1,5,9,0,0,40,13,0,0,2,0,0,Saturday,10,20,17970
8/14/2021 4:00:00 PM,2,2021,1,MIN,DEN,HOME,6,33,39,U.S. Bank Stadium,3,3,0,0,0,29,8,29:08,15,11,3,1,63,235,3.7,0,36,156,4.3,0,26,11,79,0,1,3.0,7.2,42.3,33.97,13,5,38.5,2,0,0,3,0,0,0,8,68,0,0,1,5,1,4,4,162,40.5,1,0,-1,9,17,7,0,0,30,52,30:52,20,7,9,4,57,387,6.8,4,35,138,3.9,0,22,14,249,3,0,11.3,17.8,63.6,141.86,12,7,58.3,2,0,0,4,2,0,0,5,55,0,0,0,0,4,3,2,85,42.5,0,1,1,0,0,50.0,0,0,0,0,0,0,0,0,2,2,4,4,0,0,0,0,0,1,1,40,13,0,0,2,0,0,42,25,1,5,9,0,0,Saturday,20,10,17970
8/14/2021 7:00:00 PM,2,2021,1,NO,BAL,AWAY,14,17,31,M&T Bank Stadium,0,14,0,0,0,26,37,26:37,19,3,14,2,61,366,6,2,18,94,5.2,1,40,24,272,1,3,6.8,11.3,60.0,57.50,11,5,45.5,0,0,0,3,2,0,0,10,63,3,3,3,31,6,5,4,188,47,6,2,-4,0,9,0,8,0,33,23,33:23,20,10,9,1,70,309,4.4,1,34,149,4.4,1,34,23,160,0,1,4.7,7.0,67.6,65.81,16,7,43.8,1,0,0,3,1,0,0,9,70,1,1,2,5,9,2,5,227,45.4,2,6,4,66.7,0,33.3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,56,20,2,5,3,1,1,38,23,3,31,9,3,3,Saturday,22,3,17955
8/14/2021 7:00:00 PM,2,2021,1,BAL,NO,HOME,17,14,31,M&T Bank Stadium,0,9,0,8,0,33,23,33:23,20,10,9,1,70,309,4.4,1,34,149,4.4,1,34,23,160,0,1,4.7,7.0,67.6,65.81,16,7,43.8,1,0,0,3,1,0,0,9,70,1,1,2,5,9,2,5,227,45.4,2,6,4,0,14,0,0,0,26,37,26:37,19,3,14,2,61,366,6,2,18,94,5.2,1,40,24,272,1,3,6.8,11.3,60.0,57.50,11,5,45.5,0,0,0,3,2,0,0,10,63,3,3,3,31,6,5,4,188,47,6,2,-4,33.3,0,66.7,0,0,0,0,0,0,1,1,3,3,2,2,0,0,0,0,0,0,0,38,23,3,31,9,3,3,56,20,2,5,3,1,1,Saturday,3,22,17955
8/14/2021 7:00:00 PM,2,2021,1,CLE,JAX,AWAY,23,13,36,TIAA Bank Field,3,10,3,7,0,33,7,33:07,22,3,17,2,71,360,5.1,2,26,41,1.6,0,44,31,319,2,0,7.2,10.3,70.5,106.16,17,10,58.8,2,1,50.0,4,1,0,0,3,26,0,0,1,8,4,5,2,105,52.5,0,1,1,0,0,0,13,0,26,53,26:53,19,3,15,1,65,302,4.6,2,15,46,3.1,0,46,31,256,2,1,5.6,8.3,67.4,86.87,15,7,46.7,2,1,50.0,2,2,0,0,7,49,0,0,4,17,3,5,4,220,55,1,0,-1,25.0,0,100,0,2,2,0,0,0,0,0,3,3,1,1,0,2,0,0,0,1,0,49,12,4,10,3,1,1,57,10,1,8,7,1,0,Saturday,8,15,17965
8/14/2021 7:00:00 PM,2,2021,1,JAX,CLE,HOME,13,23,36,TIAA Bank Field,0,0,0,13,0,26,53,26:53,19,3,15,1,65,302,4.6,2,15,46,3.1,0,46,31,256,2,1,5.6,8.3,67.4,86.87,15,7,46.7,2,1,50.0,2,2,0,0,7,49,0,0,4,17,3,5,4,220,55,1,0,-1,3,10,3,7,0,33,7,33:07,22,3,17,2,71,360,5.1,2,26,41,1.6,0,44,31,319,2,0,7.2,10.3,70.5,106.16,17,10,58.8,2,1,50.0,4,1,0,0,3,26,0,0,1,8,4,5,2,105,52.5,0,1,1,100,0,25.0,0,1,1,0,2,0,0,0,1,0,2,2,0,0,0,0,0,3,3,57,10,1,8,7,1,0,49,12,4,10,3,1,1,Saturday,15,8,17965
8/14/2021 7:30:00 PM,2,2021,1,CIN,TB,AWAY,19,14,33,Raymond James Stadium,0,7,9,3,0,34,16,34:16,19,5,9,5,64,303,4.7,1,35,118,3.4,1,29,19,185,0,2,6.4,9.7,65.5,54.53,14,6,42.9,0,0,0,4,1,0,0,7,57,2,2,0,0,13,3,3,142,47.3,4,3,-1,6,0,0,8,0,25,44,25:44,14,2,11,1,60,159,2.6,2,17,29,1.7,1,39,17,130,0,2,3.3,7.6,43.6,30.93,15,7,46.7,1,0,0,1,1,0,0,9,61,1,1,4,25,2,7,5,231,46.2,3,4,1,25.0,0,100,0,1,1,0,0,0,0,0,4,4,1,0,0,2,1,0,0,0,0,31,24,4,25,9,0,1,49,24,0,0,4,2,2,Saturday,7,33,17665
8/14/2021 7:30:00 PM,2,2021,1,TB,CIN,HOME,14,19,33,Raymond James Stadium,6,0,0,8,0,25,44,25:44,14,2,11,1,60,159,2.6,2,17,29,1.7,1,39,17,130,0,2,3.3,7.6,43.6,30.93,15,7,46.7,1,0,0,1,1,0,0,9,61,1,1,4,25,2,7,5,231,46.2,3,4,1,0,7,9,3,0,34,16,34:16,19,5,9,5,64,303,4.7,1,35,118,3.4,1,29,19,185,0,2,6.4,9.7,65.5,54.53,14,6,42.9,0,0,0,4,1,0,0,7,57,2,2,0,0,13,3,3,142,47.3,4,3,-1,100,0,25.0,0,1,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,4,4,49,24,0,0,4,2,2,31,24,4,25,9,0,1,Saturday,33,7,17665
8/14/2021 7:30:00 PM,2,2021,1,NYJ,NYG,AWAY,12,7,19,MetLife Stadium,3,0,7,2,0,39,49,39:49,21,8,12,1,75,316,4.2,1,37,89,2.4,1,37,24,227,0,0,6.1,9.5,64.9,81.70,16,6,37.5,1,0,0,2,1,0,0,6,49,1,1,1,8,10,5,5,231,46.2,1,1,0,0,0,0,7,0,20,11,20:11,11,4,3,4,44,163,3.7,1,16,105,6.6,0,23,8,58,1,0,2.5,7.2,34.8,58.06,10,2,20.0,2,0,0,2,1,0,0,3,19,1,1,5,34,2,4,6,260,43.3,1,1,0,50.0,0,50.0,0,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,23,23,5,34,7,1,1,43,44,1,8,1,3,1,Saturday,24,23,17979
8/14/2021 7:30:00 PM,2,2021,1,NYG,NYJ,HOME,7,12,19,MetLife Stadium,0,0,0,7,0,20,11,20:11,11,4,3,4,44,163,3.7,1,16,105,6.6,0,23,8,58,1,0,2.5,7.2,34.8,58.06,10,2,20.0,2,0,0,2,1,0,0,3,19,1,1,5,34,2,4,6,260,43.3,1,1,0,3,0,7,2,0,39,49,39:49,21,8,12,1,75,316,4.2,1,37,89,2.4,1,37,24,227,0,0,6.1,9.5,64.9,81.70,16,6,37.5,1,0,0,2,1,0,0,6,49,1,1,1,8,10,5,5,231,46.2,1,1,0,50.0,0,50.0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,43,44,1,8,1,3,1,23,23,5,34,7,1,1,Saturday,23,24,17979
8/14/2021 8:00:00 PM,2,2021,1,HOU,GB,AWAY,26,7,33,Lambeau Field,3,10,3,10,0,33,21,33:21,20,7,10,3,70,319,4.6,2,37,170,4.6,2,32,16,149,0,1,4.7,9.3,50.0,50.13,14,6,42.9,0,0,0,4,1,0,0,6,42,0,0,1,5,2,6,4,179,44.8,1,3,2,0,7,0,0,0,26,39,26:39,13,3,9,1,52,242,4.7,1,21,49,2.3,0,29,20,193,1,1,6.7,9.6,69.0,84.41,11,3,27.3,2,0,0,0,0,0,0,5,40,2,2,2,17,2,2,6,289,48.2,3,1,-2,25.0,0,0,0,2,2,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,43,14,2,18,3,1,2,52,21,1,5,6,0,0,Saturday,13,12,17666
8/14/2021 8:00:00 PM,2,2021,1,GB,HOU,HOME,7,26,33,Lambeau Field,0,7,0,0,0,26,39,26:39,13,3,9,1,52,242,4.7,1,21,49,2.3,0,29,20,193,1,1,6.7,9.6,69.0,84.41,11,3,27.3,2,0,0,0,0,0,0,5,40,2,2,2,17,2,2,6,289,48.2,3,1,-2,3,10,3,10,0,33,21,33:21,20,7,10,3,70,319,4.6,2,37,170,4.6,2,32,16,149,0,1,4.7,9.3,50.0,50.13,14,6,42.9,0,0,0,4,1,0,0,6,42,0,0,1,5,2,6,4,179,44.8,1,3,2,0,0,25.0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,4,52,21,1,5,6,0,0,43,14,2,18,3,1,2,Saturday,12,13,17666
8/14/2021 8:30:00 PM,2,2021,1,KC,SF,AWAY,19,16,35,Levi's Stadium,7,0,3,9,0,29,28,29:28,17,7,8,2,65,258,4.0,2,22,74,3.4,1,39,26,184,1,1,4.7,7.1,66.7,75.16,16,5,31.2,1,1,100,2,2,0,0,4,33,0,0,4,12,7,4,7,374,53.4,1,2,1,6,3,0,7,0,30,32,30:32,18,9,8,1,66,383,5.8,2,29,175,6.0,1,32,18,208,1,1,6.5,11.6,56.2,73.44,15,5,33.3,0,0,0,3,1,0,0,7,73,1,1,5,39,8,4,8,378,47.2,2,1,-1,100,0,33.3,0,2,1,0,0,0,0,0,3,2,2,1,0,0,0,0,0,1,1,45,29,5,39,6,3,1,42,30,4,12,6,0,0,Saturday,16,31,17960
