SeasonType,Season,Team,Score,OpponentScore,TotalScore,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,Games,TeamID
1,2021,BUF,483,289,772,102,123,107,151,0,32:42,398,134,236,28,1143,6493,5.7,57,461,2209,4.8,20,655,415,4284,36,16,6.5,10.3,63.4,90.28,222,103,46.4,22,11,50.0,77,48,0,0,113,980,6,6,27,166,91,90,52,2230,42.9,22,30,8,37,115,37,94,6,29:34,285,108,138,39,1014,4637,4.6,32,442,1866,4.2,19,530,297,2771,12,19,5.2,9.3,56.0,63.18,214,66,30.8,35,16,45.7,45,23,0,0,102,844,11,11,42,276,94,52,74,3394,45.9,30,22,-8,62.3,0,51.1,0,51,51,0,9,2,1,1,32,28,26,26,0,7,2,1,1,23,21,698,319,41,267,80,12,11,775,392,27,167,76,17,7,17,4
1,2021,CAR,304,404,708,95,87,35,87,0,31:44,322,118,174,30,1106,5081,4.6,32,455,1842,4.0,17,599,348,3239,14,21,5.4,9.3,58.1,66.21,235,84,35.7,34,14,41.2,47,25,0,0,107,864,8,8,52,334,94,83,73,3184,43.6,29,16,-13,43,130,111,114,6,30:31,311,112,170,29,1028,5201,5.1,45,474,1935,4.1,16,515,337,3266,26,9,6.3,9.7,65.4,92.58,217,82,37.8,21,12,57.1,52,35,0,0,108,896,7,7,39,293,109,95,74,3397,45.9,16,29,13,53.2,0,67.3,0,28,26,0,7,3,0,0,29,26,35,32,0,14,1,1,1,37,32,690,406,39,298,53,14,8,695,427,52,334,91,10,11,17,5
2,2021,CAR,55,50,105,6,29,7,13,0,28:50,45,11,30,4,172,906,5.3,5,70,283,4.0,2,97,58,623,3,0,6.4,10.7,59.8,88.98,40,10,25.0,5,2,40.0,9,3,0,0,18,109,1,1,5,29,13,15,15,688,45.9,1,8,7,3,10,10,27,0,32:10,57,24,31,2,199,1002,5.0,5,98,368,3.8,4,97,64,634,1,3,6.5,9.9,66.0,74.85,44,21,47.7,2,1,50.0,6,3,0,0,12,105,5,5,4,34,13,12,14,637,45.5,8,1,-7,33.3,0,50.0,0,5,4,0,0,0,0,0,10,7,4,3,0,0,0,1,1,5,5,132,72,4,34,14,3,4,115,61,5,29,7,3,1,3,5
1,2021,CHI,311,407,718,47,117,57,90,0,30:20,333,119,180,34,1075,5225,4.9,33,475,2018,4.2,14,542,332,3207,16,20,5.9,9.7,61.3,72.25,216,75,34.7,36,15,41.7,48,23,0,0,106,914,9,9,58,428,83,77,62,2865,46.2,29,16,-13,79,103,94,131,0,30:40,321,116,170,35,1009,5384,5.3,47,483,2127,4.4,14,477,314,3257,31,8,6.8,10.4,65.8,100.07,211,81,38.4,24,12,50.0,54,30,0,0,93,856,8,8,49,366,114,81,63,2823,44.8,16,29,13,47.9,0,55.6,0,28,27,0,8,3,0,0,30,26,44,42,0,4,1,0,0,30,27,709,383,49,366,56,14,9,733,394,58,428,82,15,10,17,6
2,2021,CHI,62,78,140,0,23,21,18,0,26:36,38,11,23,4,153,889,5.8,8,62,320,5.2,2,86,54,569,5,1,6.6,10.5,62.8,96.51,33,6,18.2,6,2,33.3,5,3,0,0,25,173,1,1,5,21,21,16,18,944,52.4,2,6,4,16,41,14,7,0,34:24,63,27,31,5,210,1080,5.1,9,98,395,4.0,5,104,66,685,3,3,6.6,10.4,63.5,80.01,45,17,37.8,7,5,71.4,13,7,0,0,18,175,3,3,8,29,15,6,12,562,46.8,6,2,-4,60.0,0,53.8,0,6,5,1,4,0,0,0,3,3,7,7,0,3,1,0,0,5,5,149,66,8,30,21,2,4,116,53,5,21,17,2,1,3,6
3,2021,CIN,92,82,174,22,27,31,9,3,33:36,71,21,49,1,252,1317,5.2,7,90,343,3.8,1,143,98,974,6,2,6.8,9.9,68.5,95.73,55,23,41.8,4,2,50.0,14,5,0,0,21,163,0,0,19,137,18,19,16,674,42.1,2,9,7,17,36,13,16,0,29:48,81,19,55,7,256,1426,5.6,9,88,425,4.8,1,158,96,1001,8,8,6.3,10.4,60.8,74.89,53,21,39.6,4,2,50.0,16,8,0,0,13,82,1,1,10,87,33,24,16,735,45.9,9,2,-7,35.7,0,50.0,0,6,6,0,2,1,0,0,14,14,7,7,0,3,0,0,0,7,7,172,85,10,87,23,2,1,173,111,19,137,17,0,0,4,7
1,2021,CIN,460,376,836,67,146,102,139,6,31:27,337,96,208,33,1046,6145,5.9,54,436,1742,4.0,16,555,384,4403,36,14,7.9,11.5,69.2,103.91,207,82,39.6,20,13,65.0,52,31,0,0,72,620,7,7,55,403,99,80,66,3064,46.4,21,21,0,81,127,40,119,9,30:06,339,107,213,19,1075,5964,5.5,44,407,1742,4.3,15,626,420,4222,26,13,6.7,10.1,67.1,91.29,221,92,41.6,18,7,38.9,53,32,0,0,116,946,8,8,42,276,110,80,74,3279,44.3,21,21,0,59.6,0,60.4,0,49,47,0,8,1,0,0,34,29,39,37,0,8,3,0,0,31,23,720,408,41,265,63,17,8,695,437,55,408,81,12,8,17,7
2,2021,CIN,58,60,118,3,20,23,12,0,30:18,54,16,29,9,182,930,5.1,5,88,347,3.9,3,93,57,583,2,2,6.3,10.2,61.3,77.49,42,18,42.9,3,1,33.3,9,4,0,0,27,195,3,3,1,4,22,12,11,521,47.4,5,5,0,16,10,3,31,0,30:42,61,19,38,4,190,882,4.6,7,79,239,3.0,4,102,59,643,2,3,6.3,10.9,57.8,70.83,40,18,45.0,4,1,25.0,7,4,0,0,16,126,2,2,9,54,5,11,12,508,42.3,5,5,0,44.4,0,57.1,0,4,4,0,2,0,0,0,8,8,4,3,0,6,3,0,0,3,3,117,71,8,53,15,1,2,127,68,1,4,12,3,3,3,7
2,2021,CLE,59,36,95,17,13,13,16,0,33:11,72,15,52,5,209,1173,5.6,6,75,275,3.7,1,130,83,898,5,3,6.9,10.8,63.8,87.28,40,18,45.0,7,4,57.1,13,4,0,0,14,101,0,0,4,27,14,15,7,317,45.3,3,4,1,7,3,0,26,0,27:49,49,13,34,2,178,851,4.8,5,64,246,3.8,1,104,66,605,4,2,5.8,9.2,63.5,84.01,40,16,40.0,8,4,50.0,7,5,0,0,15,160,2,2,10,46,12,10,13,636,48.9,4,3,-1,30.8,0,71.4,0,6,5,0,0,0,0,0,7,6,3,3,0,3,0,0,0,2,1,115,70,10,39,7,3,2,132,80,4,27,19,2,1,3,8
1,2021,CLE,349,371,720,68,133,68,80,0,31:48,342,138,177,27,1054,5791,5.5,43,485,2471,5.1,20,520,320,3320,21,14,6.4,10.4,61.5,82.21,212,83,39.2,29,12,41.4,50,31,0,0,112,1035,8,8,49,299,101,76,67,2880,43.0,22,19,-3,65,102,74,130,0,29:12,327,108,184,35,1056,5296,5.0,43,437,1857,4.2,13,576,367,3439,29,13,6.0,9.4,63.7,87.43,219,86,39.3,25,16,64.0,52,34,0,0,98,877,6,6,43,273,82,74,71,3425,48.2,19,22,3,62.0,0,65.4,0,39,37,1,6,2,1,1,22,16,35,33,0,13,1,0,0,27,26,707,386,43,275,79,12,7,739,395,48,282,69,13,10,17,8
1,2021,DAL,530,358,888,130,146,103,145,6,31:41,390,111,248,31,1153,6919,6.0,64,473,2119,4.5,15,647,444,4800,40,11,7.4,10.8,68.6,103.71,228,99,43.4,24,14,58.3,65,41,0,0,127,1103,9,9,33,163,114,72,65,3143,48.4,20,34,14,90,96,65,104,3,30:01,327,99,191,37,1082,5967,5.5,40,429,1918,4.5,13,612,364,4049,24,26,6.6,11.1,59.5,74.58,223,76,34.1,26,16,61.5,46,28,0,0,121,973,8,8,41,297,85,52,68,3125,46.0,34,20,-14,63.1,0,60.9,0,53,47,0,11,2,4,4,35,29,32,29,1,9,2,2,2,35,29,686,335,41,297,84,13,9,762,433,33,163,75,14,9,17,9
2,2021,DAL,47,89,136,10,20,3,14,0,30:09,77,27,44,6,272,1250,4.6,5,101,388,3.8,0,162,92,862,5,4,5.3,9.4,56.8,71.58,64,26,40.6,11,7,63.6,9,5,0,0,25,189,4,4,9,59,14,15,18,874,48.6,8,3,-5,17,17,26,29,0,30:51,74,31,36,7,242,1246,5.1,9,114,422,3.7,4,122,81,824,4,1,6.8,10.2,66.4,93.07,46,14,30.4,5,3,60.0,14,8,0,0,19,189,2,2,6,28,21,17,17,807,47.5,3,8,5,55.6,0,57.1,0,5,5,0,0,0,0,0,7,4,9,8,0,0,0,0,0,10,9,170,68,5,28,12,2,2,174,81,9,59,24,5,4,4,9
3,2021,DAL,17,23,40,0,7,0,10,0,26:01,20,7,12,1,70,307,4.4,2,21,77,3.7,1,44,24,230,1,1,5.2,9.6,54.5,67.42,14,5,35.7,2,1,50.0,1,1,0,0,14,89,0,0,5,40,4,3,5,268,53.6,1,1,0,10,6,7,0,0,33:59,21,7,10,4,63,341,5.4,2,38,169,4.4,2,25,16,172,0,1,6.9,10.8,64.0,67.42,13,6,46.2,0,0,0,1,1,0,0,9,58,0,0,0,0,14,3,4,179,44.8,1,1,0,100,0,100,0,2,2,0,0,0,0,0,1,1,2,2,0,0,0,0,0,3,3,39,45,0,0,4,0,0,41,20,5,40,3,1,0,1,9
2,2021,DEN,80,21,101,19,34,17,10,0,31:44,55,22,28,5,177,909,5.1,10,99,319,3.2,1,75,49,590,7,1,7.9,12.0,65.3,114.86,38,17,44.7,6,3,50.0,10,7,0,0,7,75,1,1,3,21,15,7,10,467,46.7,2,4,2,6,9,6,0,0,29:16,46,22,21,3,195,771,4.0,0,85,334,3.9,0,104,56,437,0,3,4.2,7.8,53.8,52.44,43,14,32.6,9,1,11.1,6,0,0,0,24,173,1,1,6,57,5,10,11,537,48.8,4,2,-2,70.0,0,0,0,9,9,0,0,0,0,0,5,5,0,0,0,0,0,0,0,7,7,137,52,6,57,24,1,1,122,57,3,21,8,1,1,3,10
1,2021,DEN,335,322,657,54,106,64,111,0,31:48,331,124,179,28,1036,5618,5.4,37,455,2025,4.5,16,541,354,3593,20,9,6.6,10.1,65.4,89.68,213,82,38.5,28,16,57.1,53,29,0,0,83,711,9,9,40,263,82,65,67,3083,46.0,18,19,1,71,94,71,86,0,29:12,312,99,192,21,1039,5544,5.3,36,441,1892,4.3,9,562,341,3652,22,13,6.5,10.7,60.7,83.13,225,101,44.9,26,11,42.3,42,21,0,0,103,921,6,6,36,249,103,75,60,3021,50.4,19,18,-1,54.7,0,50.0,0,34,33,0,6,1,0,0,31,26,29,28,0,6,0,3,3,31,24,641,381,36,249,73,6,6,657,461,40,263,58,10,10,17,10
1,2021,DET,325,467,792,40,107,79,99,0,29:12,329,104,193,32,1056,5484,5.2,35,427,1886,4.4,12,593,396,3598,23,14,6.1,9.1,66.8,86.11,213,74,34.7,41,21,51.2,45,21,0,0,105,824,9,9,36,286,63,58,65,3198,49.2,23,19,-4,85,154,113,115,0,31:23,372,135,211,26,1092,6456,5.9,52,518,2296,4.4,19,544,359,4160,31,11,7.6,11.6,66.0,99.51,204,92,45.1,14,9,64.3,60,42,0,0,87,818,8,8,30,201,93,79,47,2154,45.8,19,23,4,46.7,0,70.0,0,28,27,0,12,5,0,0,30,26,45,43,1,10,1,1,1,41,36,735,427,30,201,68,10,8,739,380,35,276,64,12,9,17,11
2,2021,DET,52,69,121,10,7,3,32,0,29:44,55,19,27,9,178,799,4.5,6,78,325,4.2,4,92,59,474,2,1,5.2,8.0,64.1,79.71,38,15,39.5,6,4,66.7,9,5,0,0,20,180,1,1,8,53,10,10,11,594,54,2,1,-1,20,22,3,24,0,31:16,52,17,32,3,185,1011,5.5,5,86,357,4.2,1,95,64,654,4,1,6.9,10.2,67.4,96.56,44,19,43.2,3,3,100,12,4,0,0,22,186,0,0,4,31,17,15,8,376,47,1,2,1,55.6,0,33.3,0,4,4,0,4,0,0,0,4,4,4,4,0,0,0,1,1,11,11,139,65,4,31,14,1,1,128,65,8,53,11,1,1,3,11
2,2021,GB,21,68,89,7,14,0,0,0,29:41,46,13,29,4,170,832,4.9,3,81,302,3.7,1,84,57,530,2,4,6.3,9.3,67.9,73.02,35,14,40.0,8,2,25.0,5,2,0,0,11,85,3,3,5,41,11,7,12,549,45.8,7,1,-6,13,30,15,10,0,31:19,57,18,36,3,190,932,4.9,7,83,333,4.0,3,103,66,599,4,1,5.8,9.1,64.1,88.61,40,20,50.0,2,1,50.0,9,5,0,0,15,107,0,0,4,31,11,16,10,445,44.5,1,7,6,40.0,0,55.6,0,3,3,0,0,0,0,0,1,0,5,5,0,3,0,0,0,7,7,137,60,4,31,9,0,0,136,54,5,42,9,2,3,3,12
1,2021,GB,450,371,821,51,172,111,113,3,33:59,375,109,235,31,1072,6215,5.8,54,446,1900,4.3,13,593,402,4315,39,7,7.3,10.7,67.8,105.90,202,88,43.6,22,13,59.1,70,41,0,0,69,678,6,6,33,211,93,51,53,2467,46.5,13,26,13,84,121,48,118,0,28:30,337,120,194,23,1037,5579,5.4,45,395,1855,4.7,13,603,379,3724,31,18,6.2,9.8,62.9,84.89,203,87,42.9,33,15,45.5,50,33,0,0,88,718,8,8,39,297,84,55,57,2648,46.5,26,13,-13,58.6,0,66.0,0,51,49,0,4,0,1,1,34,25,40,38,0,8,2,1,1,22,19,712,292,38,287,75,10,10,718,403,33,211,50,12,6,17,12
3,2021,GB,10,13,23,7,0,0,3,0,30:36,14,5,8,1,54,263,4.9,1,20,67,3.4,1,29,20,196,0,0,6.8,9.8,69.0,87.72,12,5,41.7,0,0,0,3,1,0,0,5,25,1,1,5,29,7,8,5,235,47,1,1,0,0,0,3,10,0,29:24,12,5,7,0,52,212,4.1,1,29,106,3.7,0,19,11,106,0,1,5.6,9.6,57.9,51.64,11,4,36.4,1,0,0,3,0,0,0,5,40,0,0,4,25,6,5,5,234,46.8,1,1,0,33.3,0,0,0,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,2,2,47,20,4,25,4,0,0,47,16,5,29,2,2,1,1,12
1,2021,HOU,280,452,732,60,99,34,87,0,28:14,266,77,162,27,1010,4727,4.7,31,420,1422,3.4,8,546,354,3305,21,15,6.1,9.3,64.8,82.71,239,95,39.7,21,9,42.9,37,19,0,0,114,978,7,7,44,325,71,81,88,4108,46.7,22,25,3,71,137,104,140,0,32:46,382,135,218,29,1101,6535,5.9,53,523,2418,4.6,26,546,363,4117,27,17,7.5,11.3,66.5,92.41,206,89,43.2,19,11,57.9,66,41,0,0,89,790,8,8,32,225,96,86,57,2513,44.1,25,22,-3,51.4,0,62.1,0,29,25,0,2,1,1,1,27,21,48,44,0,7,2,1,1,32,28,766,431,32,225,64,16,8,710,405,43,318,61,10,7,17,13
